gene,human_disease_association
ABHD16A,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Rheumatoid arthritis, Autoimmune thyroiditis, Psoriatic arthritis, Systemic lupus erythematosus"
ABHD16B,"Marginal zone B-cell lymphoma, Abdominal aortic aneurysm"
ABHD17A,Bipolar disorder
ABHD17B,Attention deficit hyperactivity disorder
ABHD17C,"Atrial fibrillation, Attention deficit hyperactivity disorder"
ABHD2,"Heart disease, Myocardial infarction"
ABHD6,"Limited scleroderma, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Systemic lupus erythematosus"
ABHD8,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis"
ABI1,Attention deficit hyperactivity disorder
ABI3,"Prostate carcinoma, Alzheimer's disease, Attention deficit hyperactivity disorder, Heart disease, Abdominal obesity-metabolic syndrome 1, Myocardial infarction"
ABL2,Acne
ABLIM1,"Attention deficit hyperactivity disorder, Bipolar disorder"
ABLIM2,"open-angle glaucoma, Chronic obstructive pulmonary disease"
ABR,"Colorectal adenoma, Colorectal cancer"
ABT1,"Autism spectrum disorder, Endogenous depression, Lung squamous cell carcinoma"
ACAA2,Heart disease
ACACB,Cervical cancer
ACAD10,"Age related macular degeneration, Kuhnt-Junius degeneration, Esophageal carcinoma, Heart disease, Primary biliary cholangitis, Gout, Abdominal obesity-metabolic syndrome 1, Vascular disease, Hyperuricemia, Chronic obstructive pulmonary disease, Myocardial infarction, Cerebrovascular disease, Psoriasis"
ACAD11,Heart disease
ACADS,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder, Allergic rhinitis"
ACADVL,Vascular disease
ACAN,Sensorineural hearing loss
ACAP1,"Uterine fibroid, Hypothyroidism, Vascular disease, Autoimmune thyroiditis"
ACAP3,"Inflammatory bowel disease, Ulcerative colitis"
ACBD4,"Hypertension, Hypothyroidism"
ACBD7,Chronic kidney disease
ACCS,IgA glomerulonephritis
ACCSL,IgA glomerulonephritis
ACE,"Alzheimer's disease, Hodgkin's lymphoma"
ACHE,"Inflammatory bowel disease, Hypertension, Crohn's disease"
ACIN1,"DOID:7061, Acute lymphoblastic leukemia"
ACKR3,Polycystic ovary syndrome
ACKR4,Heart disease
ACO2,"Vitiligo, Allergic rhinitis, Crohn's disease"
ACOT8,"Heart disease, Abdominal aortic aneurysm"
ACOX2,"Systemic scleroderma, Rheumatoid arthritis, Systemic lupus erythematosus"
ACOXL,"Prostate carcinoma, Chronic lymphocytic leukemia, open-angle glaucoma, Sclerosing cholangitis, Churg-Strauss syndrome, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis, Alopecia areata"
ACP2,"open-angle glaucoma, Hypertension, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1, Endogenous depression, Acne"
ACP6,Atrial fibrillation
ACPT,Prostate carcinoma
ACSF3,"Cancer, Melanoma, Skin carcinoma, Herpes zoster"
ACSL1,Kawasaki disease
ACSL5,Colorectal cancer
ACSL6,"Rheumatoid arthritis, Crohn's disease"
ACSM1,"Gout, Hodgkin's lymphoma"
ACSM2A,"Hypertension, Gout, Nephrolithiasis, Chronic kidney disease"
ACSM2B,Gout
ACSM3,"Gout, Hodgkin's lymphoma"
ACSM4,Intracranial aneurysm
ACSM5,"Hypertension, Nephrolithiasis, Chronic kidney disease"
ACSS2,"Congenital heart disease, Vascular disease, Melanoma, Skin carcinoma"
ACTA2,"Chronic lymphocytic leukemia, Juvenile rheumatoid arthritis"
ACTG1,"Age related macular degeneration, Kuhnt-Junius degeneration"
ACTG2,Systemic lupus erythematosus
ACTL6B,"Inflammatory bowel disease, Autoimmune thyroiditis"
ACTL7A,Attention deficit hyperactivity disorder
ACTL7B,Attention deficit hyperactivity disorder
ACTL9,"Carpal tunnel syndrome, Atopic dermatitis"
ACTN1,"Inflammatory bowel disease, Celiac disease, Juvenile rheumatoid arthritis"
ACTN2,Attention deficit hyperactivity disorder
ACTR10,Heart disease
ACTR1A,Allergic rhinitis
ACTR1B,Colorectal cancer
ACTR2,"Heart disease, Lung adenocarcinoma, Rheumatoid arthritis, Systemic lupus erythematosus"
ACTR5,"Autism spectrum disorder, Attention deficit hyperactivity disorder"
ACTRT2,"Heart disease, Cervical cancer, Myocardial infarction"
ACTRT3,"Idiopathic pulmonary fibrosis, Chronic lymphocytic leukemia, Uterine fibroid, Central nervous system cancer, Lung non-small cell carcinoma, Lung adenocarcinoma, Thyroid gland carcinoma, Renal cell carcinoma, Skin melanoma, Systemic lupus erythematosus, Colorectal cancer, Multiple myeloma"
ACVR1B,"Lung carcinoma, Lung adenocarcinoma"
ACVR2A,Endogenous depression
ACVR2B,Atrial fibrillation
ACVRL1,"Lung carcinoma, Lung adenocarcinoma"
ACYP1,Heart disease
ACYP2,Cardiac arrest
ADAD1,"Celiac disease, Endogenous depression, Asthma, Allergic rhinitis, Juvenile rheumatoid arthritis, Systemic lupus erythematosus"
ADAM10,Alzheimer's disease
ADAM12,Swine influenza
ADAM15,"Inflammatory bowel disease, non-alcoholic fatty liver disease, Prostate carcinoma, Attention deficit hyperactivity disorder, Basal cell carcinoma, Breast carcinoma, Ovarian carcinoma, Skin melanoma"
ADAM19,Chronic obstructive pulmonary disease
ADAM20,Prostate carcinoma
ADAM29,Breast carcinoma
ADAM30,Crohn's disease
ADAMTS1,Alzheimer's disease
ADAMTS10,"Carpal tunnel syndrome, Atopic dermatitis"
ADAMTS12,"Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Skin melanoma"
ADAMTS13,Vascular disease
ADAMTS15,Abdominal aortic aneurysm
ADAMTS17,Carpal tunnel syndrome
ADAMTS18,"Acute pancreatitis, Acne"
ADAMTS3,Heart disease
ADAMTS4,Allergic rhinitis
ADAMTS7,"Heart disease, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Lung small cell carcinoma, Myocardial infarction"
ADAMTS8,Abdominal aortic aneurysm
ADAMTS9,"Age related macular degeneration, Kuhnt-Junius degeneration"
ADAMTSL2,"Nicotine dependence, Vascular disease"
ADAMTSL3,Chronic obstructive pulmonary disease
ADAMTSL4,Osteoarthritis
ADAP1,Atrial fibrillation
ADAP2,"Cancer, Breast carcinoma"
ADARB1,"Attention deficit hyperactivity disorder, Endogenous depression, Gastroesophageal reflux disease"
ADARB2,Endogenous depression
ADAT1,Attention deficit hyperactivity disorder
ADAT3,Bipolar disorder
ADCK4,"Kawasaki disease, Chronic obstructive pulmonary disease"
ADCK5,Plantar fascial fibromatosis
ADCY2,"Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
ADCY3,"Inflammatory bowel disease, Dental caries, Crohn's disease"
ADCY4,Language disorder
ADCY5,Chronic obstructive pulmonary disease
ADCY7,"Hypothyroidism, Autoimmune thyroiditis, Ulcerative colitis"
ADCY9,"estrogen-receptor negative breast cancer, Breast carcinoma, Cleft lip"
ADCYAP1R1,"Attention deficit hyperactivity disorder, Intestinal disease"
ADD1,"Attention deficit hyperactivity disorder, Hodgkin's lymphoma"
ADD2,"Swine influenza, Allergic rhinitis, Osteoarthritis"
ADD3,Bipolar disorder
ADGB,Leprosy
ADH1A,"Esophageal carcinoma, Head and neck cancer, Oropharynx cancer, Oral cavity cancer"
ADH1B,"Esophageal carcinoma, Head and neck cancer, Oropharynx cancer, Oral cavity cancer"
ADH1C,"Esophageal carcinoma, Head and neck cancer, Oropharynx cancer, Oral cavity cancer"
ADH6,"Esophageal carcinoma, Head and neck cancer, Oropharynx cancer, Oral cavity cancer"
ADH7,"Esophageal carcinoma, Head and neck cancer, Oropharynx cancer, Oral cavity cancer"
ADIPOQ,Liver disease
ADIPOR1,Atrial fibrillation
ADIRF,Gout
ADM,"Hypertension, Colorectal cancer"
ADM2,"Diffuse large B-cell lymphoma, Sensorineural hearing loss, Chronic lymphocytic leukemia"
ADM5,"Vitiligo, Hypothyroidism, Basal cell carcinoma, Systemic scleroderma, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Hodgkin's lymphoma, Systemic lupus erythematosus"
ADNP,"Prostate carcinoma, Bipolar disorder"
ADNP2,Acne
ADO,"Leprosy, Atopic dermatitis, Ewing sarcoma, Crohn's disease, Psoriasis"
ADORA1,Atrial fibrillation
ADORA2A,"Heart disease, Acne"
ADPGK,"Epilepsy, Skin disease"
ADPRH,"Primary biliary cholangitis, Vitiligo, Autoimmune thyroiditis, Systemic lupus erythematosus"
ADPRM,"Colorectal adenoma, Colorectal cancer"
ADRB1,Hypertension
ADRB2,Chronic obstructive pulmonary disease
ADRBK1,Prostate carcinoma
ADRBK2,Atrial fibrillation
ADRM1,"Colorectal adenoma, Colorectal cancer"
ADSL,"estrogen-receptor negative breast cancer, Cholelithiasis, Uterine fibroid, Breast carcinoma"
ADSSL1,Endometrial carcinoma
AEBP1,"Carpal tunnel syndrome, Abdominal obesity-metabolic syndrome 1"
AEBP2,Respiratory system disease
AEN,"Sensorineural hearing loss, Plantar fascial fibromatosis"
AFAP1,"open-angle glaucoma, Chronic obstructive pulmonary disease"
AFF1,"Abdominal obesity-metabolic syndrome 1, Atopic dermatitis, Systemic lupus erythematosus"
AFF3,"Attention deficit hyperactivity disorder, Rheumatoid arthritis, Chronic kidney disease, Gastroesophageal reflux disease"
AFM,Prostate carcinoma
AFP,Prostate carcinoma
AGAP3,"Hypertension, Heart disease, Allergic rhinitis, Myocardial infarction, Cerebrovascular disease"
AGAP5,Atrial fibrillation
AGBL2,"Hypertension, Endogenous depression"
AGBL4,"Atrial fibrillation, Attention deficit hyperactivity disorder, Endogenous depression, Drug dependence, Heroin dependence"
AGER,"Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Sarcoidosis, Heart disease, Hepatitis B, Chronic obstructive pulmonary disease, Atopic dermatitis, Lung carcinoma, Lung squamous cell carcinoma, Systemic scleroderma, Cervical cancer, Ulcerative colitis, Psoriatic arthritis, Systemic lupus erythematosus, Colorectal cancer"
AGFG1,Swine influenza
AGK,Psoriasis
AGMAT,Alcoholic pancreatitis
AGMO,"Idiopathic scoliosis, Abdominal obesity-metabolic syndrome 1"
AGO2,"Atrial fibrillation, Sensorineural hearing loss, Attention deficit hyperactivity disorder"
AGPAT1,"Autism spectrum disorder, Prostate carcinoma, Age related macular degeneration, Kuhnt-Junius degeneration, Membranous glomerulonephritis, Sarcoidosis, Heart disease, Hepatitis B, Chronic obstructive pulmonary disease, Atopic dermatitis, Lung squamous cell carcinoma, Systemic scleroderma, Cervical cancer, Ulcerative colitis, Psoriatic arthritis, Systemic lupus erythematosus, Colorectal cancer"
AGPAT5,IgA glomerulonephritis
AGPAT9,Disease of cellular proliferation
AGR3,"Melanoma, Skin melanoma"
AGRN,Pancreatic carcinoma
AGT,Heart disease
AGTR2,Lung disease
AGTRAP,"Hypertension, Psoriasis"
AHCYL1,Attention deficit hyperactivity disorder
AHCYL2,Osteoarthritis
AHDC1,Myocardial infarction
AHI1,"Allergic rhinitis, Juvenile rheumatoid arthritis, Hodgkin's lymphoma, Hodgkin's lymphoma, nodular sclerosis"
AHNAK2,Rheumatoid arthritis
AHR,"Androgenic alopecia, Squamous cell carcinoma, Melanoma, Ulcerative colitis, Skin melanoma"
AHRR,"Hypospadias, Lung disease"
AIDA,"Heart disease, Myocardial infarction"
AIF1,"Cutaneous lupus erythematosus, Stevens-Johnson syndrome, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Cervical cancer, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Psoriatic arthritis"
AIF1L,Oral cavity cancer
AIFM3,Testicular germ cell cancer
AIM1,Systemic scleroderma
AIM2,"Uterine fibroid, Endometriosis, Psoriasis"
AIPL1,Attention deficit hyperactivity disorder
AIRE,"Inflammatory bowel disease, Celiac disease, Ankylosing spondylitis, Rheumatoid arthritis, Ulcerative colitis, Crohn's disease"
AJUBA,Hypertension
AK1,Primary angle-closure glaucoma
AK5,"Lung carcinoma, Lung adenocarcinoma"
AKAP1,Androgenic alopecia
AKAP11,"Allergic rhinitis, Nephrolithiasis, Crohn's disease"
AKAP13,Idiopathic pulmonary fibrosis
AKAP6,"Brain glioma, Atrial fibrillation, Attention deficit hyperactivity disorder"
AKIP1,Myocardial infarction
AKNA,non-alcoholic fatty liver disease
AKR1A1,Chronic obstructive pulmonary disease
AKR1B1,Hypertension
AKR1B10,Hypertension
AKR1B15,Hypertension
AKR1E2,Allergic rhinitis
AKT1,Endometrial carcinoma
AKT3,"Brain glioma, Attention deficit hyperactivity disorder, Anorexia nervosa"
ALAS1,"Autism spectrum disorder, Bipolar disorder"
ALAS2,Androgenic alopecia
ALB,Prostate carcinoma
ALDH1A2,"Age related macular degeneration, Kuhnt-Junius degeneration, Abdominal obesity-metabolic syndrome 1, Esophagus adenocarcinoma, Osteoarthritis, Barrett's esophagus"
ALDH1L1,Androgenic alopecia
ALDH2,"Age related macular degeneration, Kuhnt-Junius degeneration, Esophageal carcinoma, Heart disease, Gout, Abdominal obesity-metabolic syndrome 1, Vascular disease, Hyperuricemia, Chronic obstructive pulmonary disease, Myocardial infarction, Psoriasis"
ALDH7A1,"Osteoporosis, Chronic kidney disease, Colorectal cancer"
ALDH9A1,open-angle glaucoma
ALDOA,"Abdominal obesity-metabolic syndrome 1, Bipolar disorder, Hodgkin's lymphoma"
ALG1,Prostate carcinoma
ALG12,"Acne, Ulcerative colitis"
ALG2,"Age related macular degeneration, Kuhnt-Junius degeneration"
ALG5,Colorectal cancer
ALK,"Dental caries, Skin disease"
ALKBH3,Attention deficit hyperactivity disorder
ALKBH5,"Attention deficit hyperactivity disorder, Basal cell carcinoma"
ALLC,"Dental caries, Chronic kidney disease"
ALMS1,"Attention deficit hyperactivity disorder, Anorexia nervosa"
ALOX12B,Endogenous depression
ALOX15,"Sinusitis, Nasal cavity disease, Allergic rhinitis, Rheumatoid arthritis"
ALOX5,Gallbladder disease
ALOXE3,Endogenous depression
ALPK1,Atrial fibrillation
ALPK2,non-alcoholic fatty liver disease
ALPK3,"Autism spectrum disorder, Bipolar disorder, Anorexia nervosa"
ALPL,"Aortic valve stenosis, Nephrolithiasis"
ALS2CL,Heart disease
ALS2CR11,"Breast carcinoma, Cocaine abuse"
ALS2CR12,"Prostate carcinoma, Chronic lymphocytic leukemia, Esophageal carcinoma, Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Breast carcinoma, Esophagus squamous cell carcinoma, Lung non-small cell carcinoma, Rheumatoid arthritis, Cocaine abuse, Skin melanoma"
ALX3,Attention deficit hyperactivity disorder
ALX4,"Androgenic alopecia, Breast carcinoma"
AMACR,"Squamous cell carcinoma, Melanoma, Basal cell carcinoma, Skin melanoma"
AMBN,Chronic kidney disease
AMBP,Osteoarthritis
AMBRA1,"Peripheral artery disease, Autism spectrum disorder, Endogenous depression, Anorexia nervosa"
AMDHD1,"Squamous cell carcinoma, Chronic obstructive pulmonary disease, Skin melanoma"
AMELX,Prostate carcinoma
AMFR,Cerebrovascular disease
AMH,Myocardial infarction
AMHR2,"Hypospadias, Osteoporosis"
AMICA1,"Lung carcinoma, Lung non-small cell carcinoma, Lung adenocarcinoma"
AMIGO3,"Inflammatory bowel disease, Sclerosing cholangitis, Endogenous depression, Endometriosis, Ulcerative colitis, Crohn's disease"
AMN,Attention deficit hyperactivity disorder
AMPD2,Breast carcinoma
AMPD3,"Hypertension, Colorectal cancer"
AMT,"Heart disease, Osteoporosis, Endogenous depression, Endometriosis"
AMTN,Chronic kidney disease
AMY1C,Dental caries
AMZ1,"Inflammatory bowel disease, Chronic obstructive pulmonary disease, Ulcerative colitis"
ANAPC1,"Heart disease, Atopic dermatitis"
ANAPC10,"Colorectal adenoma, Atrial fibrillation, non-alcoholic fatty liver disease, Colorectal cancer"
ANAPC11,Attention deficit hyperactivity disorder
ANAPC5,"Endogenous depression, Bipolar disorder"
ANAPC7,"Autism spectrum disorder, Bipolar disorder, Anorexia nervosa"
ANGPT1,open-angle glaucoma
ANGPT2,Leukopenia
ANGPTL3,non-alcoholic fatty liver disease
ANGPTL4,"Heart disease, Abdominal obesity-metabolic syndrome 1"
ANK2,"Chronic lymphocytic leukemia, Cerebrovascular disease"
ANK3,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Bipolar I disorder, Endogenous depression"
ANKH,"open-angle glaucoma, Allergic rhinitis, Diabetes mellitus"
ANKK1,Endogenous depression
ANKLE1,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis"
ANKLE2,"Attention deficit hyperactivity disorder, Central nervous system cancer"
ANKMY1,"Inflammatory bowel disease, Sclerosing cholangitis, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease"
ANKRD11,"Attention deficit hyperactivity disorder, Cancer, Melanoma, Skin carcinoma"
ANKRD13B,Heart disease
ANKRD17,Prostate carcinoma
ANKRD23,Bipolar disorder
ANKRD27,"Eosinophilic esophagitis, Endogenous depression, Bipolar disorder"
ANKRD29,"Heart disease, Abdominal obesity-metabolic syndrome 1"
ANKRD30A,Vestibular neuronitis
ANKRD33,"Lung carcinoma, Lung adenocarcinoma"
ANKRD33B,"Inflammatory bowel disease, Ulcerative colitis, Crohn's disease"
ANKRD35,Breast carcinoma
ANKRD36B,Colorectal cancer
ANKRD37,Systemic scleroderma
ANKRD39,Bipolar disorder
ANKRD44,"Intracranial aneurysm, Thoracic aortic aneurysm, Abdominal aortic aneurysm, Anorexia nervosa"
ANKRD52,"Skin disease, Psoriasis"
ANKRD54,Sensorineural hearing loss
ANKRD55,"Acne, Juvenile rheumatoid arthritis, Crohn's disease"
ANKRD6,Heart disease
ANKRD60,Pancreatic carcinoma
ANKRD63,"Heart disease, Myocardial infarction, Chronic kidney disease"
ANKS1A,"Prostate carcinoma, Heart disease, Systemic lupus erythematosus"
ANKS1B,"Bipolar disorder, Drug dependence, Heroin dependence"
ANKUB1,"Attention deficit hyperactivity disorder, Myocardial infarction"
ANO10,"Attention deficit hyperactivity disorder, Gastroesophageal reflux disease"
ANO2,"Vascular disease, Sleep disorder, Herpes zoster"
ANO4,Attention deficit hyperactivity disorder
ANO6,Ankylosing spondylitis
ANO7,Prostate carcinoma
ANO8,"estrogen-receptor negative breast cancer, triple-receptor negative breast cancer, Breast carcinoma, Ovarian carcinoma, Rheumatoid arthritis"
ANO9,Endogenous depression
ANP32A,Esophageal carcinoma
ANP32B,"Primary biliary cholangitis, Thyroid gland carcinoma"
ANP32E,"Atopic dermatitis, Bipolar disorder"
ANPEP,Gallbladder disease
ANTXR1,Breast carcinoma
ANXA13,"estrogen-receptor negative breast cancer, Atrial fibrillation, Breast carcinoma"
ANXA2R,Attention deficit hyperactivity disorder
ANXA3,Rheumatoid arthritis
ANXA4,Atrial fibrillation
ANXA6,"Sjogren's syndrome, Chronic obstructive pulmonary disease, Systemic scleroderma, Myositis, Rheumatoid arthritis, Psoriasis, Psoriatic arthritis, Systemic lupus erythematosus"
ANXA9,"Attention deficit hyperactivity disorder, Osteoporosis, Squamous cell carcinoma, Melanoma, Neuroblastoma, Skin melanoma"
AOAH,Atopic dermatitis
AOC1,"Carpal tunnel syndrome, Abdominal obesity-metabolic syndrome 1"
AP1G1,"Prostate carcinoma, Kidney disease"
AP1M1,"Colorectal adenoma, Colorectal cancer, Multiple myeloma"
AP1M2,"Vascular disease, Rheumatoid arthritis"
AP1S1,Attention deficit hyperactivity disorder
AP2A1,Hypothyroidism
AP2A2,"Interstitial lung disease, Chronic obstructive pulmonary disease, Bronchitis"
AP2S1,Attention deficit hyperactivity disorder
AP3B1,Osteoarthritis
AP3D1,Myocardial infarction
AP3M2,"Endogenous depression, Systemic lupus erythematosus"
AP3S2,Gallbladder disease
AP4B1,"Heart disease, Vitiligo, Graves' disease, Hypothyroidism, Basal cell carcinoma, Breast carcinoma, Systemic scleroderma, Myocardial infarction, Myositis, Rheumatoid arthritis, Autoimmune thyroiditis, Ulcerative colitis, Crohn's disease, Systemic lupus erythematosus, Type 1 diabetes mellitus"
AP4M1,"Idiopathic pulmonary fibrosis, Chronic obstructive pulmonary disease"
AP5B1,"Basal cell carcinoma, Atopic dermatitis, Breast carcinoma, Allergic rhinitis, Acne, Chronic kidney disease, Psoriasis, Systemic lupus erythematosus"
APBB2,open-angle glaucoma
APC,"Colorectal adenoma, Colorectal cancer"
APEH,"Inflammatory bowel disease, Prostate carcinoma, Sclerosing cholangitis, Endogenous depression, Endometriosis, Ulcerative colitis, Crohn's disease"
APELA,Ovarian carcinoma
APEX1,Takayasu's arteritis
APEX2,Androgenic alopecia
APH1A,"Atopic dermatitis, Bipolar disorder"
APH1B,Dental caries
APIP,Lung disease
APITD1,"estrogen-receptor negative breast cancer, Prostate carcinoma, Breast carcinoma"
APLF,"Nicotine dependence, Celiac disease, Vascular disease"
APLP1,Nephrotic syndrome
APOA1,"Disease of metabolism, non-alcoholic fatty liver disease, Heart disease, Hypertrophic pyloric stenosis, Abdominal obesity-metabolic syndrome 1, Abdominal aortic aneurysm"
APOA2,Allergic rhinitis
APOA4,"Disease of metabolism, non-alcoholic fatty liver disease, Heart disease, Hypertrophic pyloric stenosis, Abdominal obesity-metabolic syndrome 1, Abdominal aortic aneurysm"
APOA5,"Disease of metabolism, non-alcoholic fatty liver disease, Heart disease, Hypertrophic pyloric stenosis, Abdominal obesity-metabolic syndrome 1, Abdominal aortic aneurysm"
APOB,"Atrial fibrillation, Abdominal obesity-metabolic syndrome 1, Pancreatic carcinoma, Myocardial infarction, Gastroesophageal reflux disease"
APOBEC2,"Alzheimer's disease, Stomach carcinoma"
APOBEC3D,Multiple myeloma
APOBEC3F,Multiple myeloma
APOBEC3G,Multiple myeloma
APOBEC3H,Multiple myeloma
APOBEC4,"Celiac disease, Systemic scleroderma, Myositis, Rheumatoid arthritis, Systemic lupus erythematosus"
APOBR,"Inflammatory bowel disease, Attention deficit hyperactivity disorder, Chronic obstructive pulmonary disease, Bipolar disorder, Crohn's disease"
APOC1,"non-alcoholic fatty liver disease, Alzheimer's disease, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Lewy body dementia, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Cerebrovascular disease, Abdominal aortic aneurysm, Vascular dementia"
APOC2,"non-alcoholic fatty liver disease, Alzheimer's disease, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Lewy body dementia, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Cerebrovascular disease, Abdominal aortic aneurysm, Vascular dementia"
APOC3,"Disease of metabolism, non-alcoholic fatty liver disease, Heart disease, Hypertrophic pyloric stenosis, Abdominal obesity-metabolic syndrome 1, Abdominal aortic aneurysm"
APOC4,"non-alcoholic fatty liver disease, Alzheimer's disease, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Lewy body dementia, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Cerebrovascular disease, Abdominal aortic aneurysm, Vascular dementia"
APOE,"non-alcoholic fatty liver disease, Alzheimer's disease, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Lewy body dementia, Abdominal obesity-metabolic syndrome 1, Myocardial infarction, Cerebrovascular disease, Abdominal aortic aneurysm, Vascular dementia"
APOF,"Skin disease, Psoriasis"
APOH,Dilated cardiomyopathy
APOL1,Chronic kidney disease
APOL2,Chronic kidney disease
APOL3,Chronic kidney disease
APOL4,Chronic kidney disease
APOLD1,"Prostate carcinoma, Skin melanoma, Systemic lupus erythematosus"
APOM,"Cutaneous lupus erythematosus, Autism spectrum disorder, Hypertension, Membranous glomerulonephritis, Cancer, Laryngeal squamous cell carcinoma, Lung carcinoma, Lung squamous cell carcinoma, Lung adenocarcinoma, Rheumatoid arthritis, Autoimmune thyroiditis, Crohn's disease, Psoriatic arthritis, Systemic lupus erythematosus"
APOPT1,"Autism spectrum disorder, Attention deficit hyperactivity disorder, Endogenous depression, Bipolar disorder"
APTX,Neuropathy
AQP1,"Bone disease, Nephrolithiasis"
AQP10,"Atrial fibrillation, Attention deficit hyperactivity disorder, Juvenile rheumatoid arthritis"
AQP12A,"Inflammatory bowel disease, Sclerosing cholangitis, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease"
AQP12B,"Inflammatory bowel disease, Sclerosing cholangitis, Ankylosing spondylitis, Ulcerative colitis, Crohn's disease"
AQP2,Allergic rhinitis
AQP3,Lung adenocarcinoma
AQP4,"Endogenous depression, Breast carcinoma, Chronic kidney disease"
AQP5,Allergic rhinitis
AQP6,Allergic rhinitis
AQP7,Lung adenocarcinoma
AQP9,"Age related macular degeneration, Kuhnt-Junius degeneration, Abdominal obesity-metabolic syndrome 1, Esophagus adenocarcinoma, Barrett's esophagus"
AR,Prostate carcinoma
ARAP1,Rheumatoid arthritis
ARAP2,"Swine influenza, Attention deficit hyperactivity disorder, Abdominal obesity-metabolic syndrome 1"
ARC,"Duodenal ulcer, Stomach carcinoma, Atrophic gastritis"
